Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
26,Memphis Grizzlies,23.3,24,58,26,56,-5.46,0.24,-5.23,103.5,109.5,-6,90.1,0.329,0.175,0.533,,0.486,14.8,25.8,0.249,,0.515,14.1,73.5,0.247,,FedEx Forum,519895,12680
27,Oklahoma City Thunder,24.5,23,59,24,58,-6.1,0.06,-6.04,102.9,109.4,-6.5,93.6,0.308,0.141,0.521,,0.471,14.8,28.6,0.242,,0.514,13,73.9,0.216,,Ford Center,766868,18704
28,Washington Wizards,26.9,19,63,21,61,-7.46,0.48,-6.98,105.4,113.6,-8.2,91,0.293,0.18,0.524,,0.48,13.2,27.7,0.224,,0.533,13.3,71.4,0.227,,Verizon Center,681119,16613
29,Sacramento Kings,26.3,17,65,19,63,-8.76,0.16,-8.6,105.5,114.7,-9.2,94.2,0.315,0.238,0.542,,0.491,14.3,24.5,0.252,,0.526,13,69.9,0.269,,ARCO Arena (II),520169,12687
30,Los Angeles Clippers,26.6,19,63,18,64,-8.77,0.3,-8.47,102.3,111.7,-9.4,92.1,0.275,0.226,0.52,,0.481,14,25.1,0.202,,0.512,12.4,71.2,0.227,,STAPLES Center,663587,16185
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,Orlando Magic*,27.9,59,23,61,21,7.49,-0.37,7.12,111.4,103.3,8.1,92,0.34,0.35,0.573,,0.536,13.6,24.6,0.246,,0.477,12.2,77.4,0.205,,Amway Arena,715901,17461
2,Cleveland Cavaliers*,28,61,21,59,23,6.52,-0.36,6.17,111.2,104.1,7.1,91.4,0.341,0.248,0.57,,0.532,13.4,25.1,0.246,,0.482,12.3,77.2,0.218,,Quicken Loans Arena,843042,20562
3,Utah Jazz*,25.6,53,29,55,27,5.34,-0.01,5.33,110.7,105,5.7,93.8,0.34,0.184,0.565,,0.524,14.2,26.8,0.252,,0.492,14.2,75.6,0.269,,EnergySolutions Arena,794512,19378
4,San Antonio Spurs*,28.7,50,32,55,27,5.09,-0.02,5.07,110,104.5,5.5,91.7,0.296,0.232,0.552,,0.515,12.9,26.8,0.219,,0.483,12.1,76.3,0.214,,AT&T Center,741676,18090
5,Atlanta Hawks*,26.5,53,29,54,28,4.66,-0.22,4.44,111.9,106.7,5.2,90.1,0.281,0.214,0.545,,0.506,11.4,28.2,0.213,,0.496,13.2,72.7,0.208,,Philips Arena,678375,16546
6,Phoenix Suns*,28.5,54,28,54,28,4.9,-0.23,4.67,115.3,110.2,5.1,95.3,0.312,0.261,0.585,,0.546,13.6,27.6,0.24,,0.491,11.6,70.8,0.224,,US Airways Center,723582,17648
7,Los Angeles Lakers*,28.4,57,25,54,28,4.72,0.06,4.78,108.8,103.7,5.1,92.8,0.289,0.227,0.538,,0.496,12.4,27.6,0.221,,0.484,13.2,74.4,0.195,,STAPLES Center,778877,18997
