Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%
25,Portland Trail Blazers*,82,19830,.460,12.0,,.794,.321,.135,.100,.238,.206,,.482,.591,.391,.409,.418,.374,,.483,.873,,.053,290,,.247,846,,.281,.369
26,Sacramento Kings,82,19905,.483,11.6,,.789,.326,.154,.104,.206,.211,,.504,.634,.424,.391,.414,.406,,.486,.833,,.066,405,,.246,964,,.287,.424
27,San Antonio Spurs*,82,19905,.453,12.2,,.820,.274,.163,.147,.237,.180,,.469,.573,.408,.414,.424,.379,,.441,.819,,.038,227,,.225,777,,.236,.387
28,Toronto Raptors,82,19805,.465,12.8,,.749,.313,.110,.097,.228,.251,,.498,.611,.440,.379,.420,.367,,.519,.903,,.056,347,,.238,892,,.298,.413
29,Utah Jazz*,82,19880,.464,11.9,,.773,.337,.137,.093,.206,.227,,.494,.613,.429,.372,.397,.361,,.478,.848,,.060,357,,.255,921,,.283,.368
30,Washington Wizards,82,19705,.482,13.0,,.735,.312,.113,.085,.226,.265,,.516,.653,.377,.436,.427,.387,,.564,.907,,.060,379,,.235,901,,.309,.449
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%
1,Atlanta Hawks*,82,19855,.460,11.9,,.790,.337,.133,.101,.219,.210,,.491,.613,.383,.388,.415,.345,,.514,.831,,.055,333,,.267,984,,.235,.388
2,Boston Celtics*,82,19780,.451,12.5,,.785,.302,.135,.120,.228,.215,,.481,.596,.429,.391,.405,.342,,.498,.819,,.038,232,,.247,862,,.268,.405
3,Charlotte Bobcats*,82,19880,.448,12.5,,.741,.338,.109,.088,.205,.259,,.486,.590,.404,.398,.395,.338,,.496,.871,,.049,280,,.264,936,,.304,.368
4,Chicago Bulls*,82,19905,.442,12.6,,.756,.327,.102,.105,.223,.244,,.472,.570,.426,.396,.387,.348,,.497,.844,,.042,264,,.266,958,,.252,.384
5,Cleveland Cavaliers*,82,19780,.442,12.9,,.772,.294,.118,.122,.238,.228,,.471,.590,.398,.377,.407,.347,,.509,.826,,.039,239,,.236,851,,.255,.368
