"year","round","game","home_team","away_team","home_score","away_score"
2018,"third",1,"Boston Celtics","Cleveland Cavaliers",108,83
2018,"third",2,"Boston Celtics","Cleveland Cavaliers",107,94
2018,"third",3,"Cleveland Cavaliers","Boston Celtics",116,86
2018,"third",4,"Cleveland Cavaliers","Boston Celtics",111,102
2018,"third",5,"Boston Celtics","Cleveland Cavaliers",96,83
2018,"third",6,"Cleveland Cavaliers","Boston Celtics",109,99
2018,"third",7,"Boston Celtics","Cleveland Cavaliers",79,87
2018,"third",1,"Houston Rockets","Golden State Warriors",106,119
2018,"third",2,"Houston Rockets","Golden State Warriors",127,105
2018,"third",3,"Golden State Warriors","Houston Rockets",126,85
2018,"third",4,"Golden State Warriors","Houston Rockets",92,95
2018,"third",5,"Houston Rockets","Golden State Warriors",98,94
2018,"third",6,"Golden State Warriors","Houston Rockets",115,86
2018,"third",7,"Houston Rockets","Golden State Warriors",92,101
2018,"second",1,"Boston Celtics","Philadelphia 76ers",117,101
2018,"second",2,"Boston Celtics","Philadelphia 76ers",108,103
2018,"second",3,"Philadelphia 76ers","Boston Celtics",98,101
2018,"second",4,"Philadelphia 76ers","Boston Celtics",103,92
2018,"second",5,"Boston Celtics","Philadelphia 76ers",114,112
2018,"second",1,"Toronto Raptors","Cleveland Cavaliers",112,113
2018,"second",2,"Toronto Raptors","Cleveland Cavaliers",110,128
2018,"second",3,"Cleveland Cavaliers","Toronto Raptors",105,103
2018,"second",4,"Cleveland Cavaliers","Toronto Raptors",128,93
2018,"second",1,"Golden State Warriors","New Orleans Pelicans",123,101
2018,"second",2,"Golden State Warriors","New Orleans Pelicans",121,116
2018,"second",3,"New Orleans Pelicans","Golden State Warriors",119,100
2018,"second",4,"New Orleans Pelicans","Golden State Warriors",92,118
2018,"second",5,"Golden State Warriors","New Orleans Pelicans",113,104
2018,"second",1,"Houston Rockets","Utah Jazz",110,96
2018,"second",2,"Houston Rockets","Utah Jazz",108,116
2018,"second",3,"Utah Jazz","Houston Rockets",92,113
2018,"second",4,"Utah Jazz","Houston Rockets",87,100
2018,"second",5,"Houston Rockets","Utah Jazz",112,102
2018,"first",1,"Boston Celtics","Milwaukee Bucks",113,107
2018,"first",2,"Boston Celtics","Milwaukee Bucks",120,106
2018,"first",3,"Milwaukee Bucks","Boston Celtics",116,92
2018,"first",4,"Milwaukee Bucks","Boston Celtics",104,102
2018,"first",5,"Boston Celtics","Milwaukee Bucks",92,87
2018,"first",6,"Milwaukee Bucks","Boston Celtics",97,86
2018,"first",7,"Boston Celtics","Milwaukee Bucks",112,96
2018,"first",1,"Cleveland Cavaliers","Indiana Pacers",80,98
2018,"first",2,"Cleveland Cavaliers","Indiana Pacers",100,97
2018,"first",3,"Indiana Pacers","Cleveland Cavaliers",92,90
2018,"first",4,"Indiana Pacers","Cleveland Cavaliers",100,104
2018,"first",5,"Cleveland Cavaliers","Indiana Pacers",98,95
2018,"first",6,"Indiana Pacers","Cleveland Cavaliers",121,87
2018,"first",7,"Cleveland Cavaliers","Indiana Pacers",105,101
2018,"first",1,"Philadelphia 76ers","Miami Heat",130,103
2018,"first",2,"Philadelphia 76ers","Miami Heat",103,113
2018,"first",3,"Miami Heat","Philadelphia 76ers",108,128
